Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34.46666666666667,69.18333333333334
Albania,Tirane,41.3,19.816666666666666
Algeria,Algiers,36.7,3.1333333333333333
American Samoa,Pago Pago,-14.266666666666667,-170.71666666666667
Andorra,Andorra la Vella,42.516666666666666,1.5333333333333332
Angola,Luanda,-8.833333333333334,13.25
Antigua and Barbuda,W. Indies,17.333333333333332,-61.8
Argentina,Buenos Aires,-36.5,-60.0
Armenia,Yerevan,40.166666666666664,44.516666666666666
Aruba,Oranjestad,12.533333333333333,-70.03333333333333
Australia,Canberra,-35.25,149.13333333333333
Austria,Vienna,48.2,16.366666666666667
Azerbaijan,Baku,40.483333333333334,49.93333333333333
Bahamas,Nassau,25.083333333333332,-77.33333333333333
Bahrain,Manama,26.166666666666668,50.5
Bangladesh,Dhaka,23.716666666666665,90.43333333333334
Barbados,Bridgetown,13.083333333333334,-59.5
Belarus,Minsk,53.86666666666667,27.5
Belgium,Brussels,50.85,4.35
Belize,Belmopan,17.3,-88.5
Benin,Porto-Novo (constitutional cotonou) (seat of gvnt),6.383333333333334,2.7
Bhutan,Thimphu,27.516666666666666,89.75
Bolivia,La Paz (adm.)/sucre (legislative),-16.333333333333332,-68.16666666666667
Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.433333333333334
Botswana,Gaborone,-24.75,25.95
Brazil,Brasilia,-15.783333333333333,-47.916666666666664
British Virgin Islands,Road Town,18.45,-64.61666666666666
Brunei Darussalam,Bandar Seri Begawan,4.866666666666667,115.0
Bulgaria,Sofia,42.75,23.333333333333332
Burkina Faso,Ouagadougou,12.25,-1.5
Burundi,Bujumbura,-3.2666666666666666,29.3
Cambodia,Phnom Penh,11.55,104.91666666666667
Cameroon,Yaounde,3.8333333333333335,11.583333333333334
Canada,Ottawa,45.45,-75.7
Cape Verde,Praia,15.033333333333333,-23.566666666666666
Cayman Islands,George Town,19.333333333333332,-81.4
Central African Republic,Bangui,4.383333333333334,18.583333333333332
Chad,N'Djamena,12.166666666666666,14.983333333333333
Chile,Santiago,-33.4,-70.66666666666667
China,Beijing,39.916666666666664,116.33333333333333
Colombia,Bogota,4.566666666666666,-74.0
Comros,Moroni,-11.666666666666666,43.266666666666666
Congo,Brazzaville,-4.15,15.2
